20000, 329250, 3118409
20000, 353188, 2867898
20000, 348191, 2803294
20000, 331876, 3543288
20000, 766452, 4811489
40000, 710269, 5515420
40000, 782773, 8353560
40000, 702974, 6893202
40000, 821832, 6163752
40000, 1652220, 12824541
80000, 1672784, 15053355
80000, 1591918, 12609041
80000, 1589718, 11720418
80000, 1481778, 11911582
80000, 3543981, 23253185
160000, 3318243, 26056673
160000, 3416885, 24673617
160000, 3433121, 25166554
160000, 3307433, 28797836
160000, 7570005, 44920812
20000, 199990000, 930536388
20000, 199990000, 913412630
20000, 247258, 1203965
20000, 331689, 1673370
20000, 793662, 3944637
40000, 799980000, 3738183074
40000, 799980000, 3723459781
40000, 534508, 3049693
40000, 743508, 3581872
40000, 1707528, 9927365
80000, 3199960000, 14644025497
80000, 3199960000, 14711772500
80000, 1149086, 4726110
80000, 1531844, 8546713
80000, 3656229, 15243852
160000, 12799920000, 56357905357
160000, 12799920000, 56003242052
160000, 2458646, 10108236
160000, 3404605, 15592116
160000, 7796715, 35467425
20000, 198012230, 714898802
20000, 197876128, 711617500
20000, 255368, 1401911
20000, 351478, 2090026
20000, 740082, 3505855
40000, 785658057, 2872612219
40000, 784563154, 2930648343
40000, 550707, 3531736
40000, 727663, 3667462
40000, 1601820, 9209972
80000, 3073227633, 11302405029
80000, 3081003890, 11361429402
80000, 1182541, 5642016
80000, 1567714, 7771391
80000, 3439491, 15125001
160000, 11861207285, 41585968883
160000, 11856263200, 41443110522
160000, 2528004, 12270547
160000, 3262761, 16241378
160000, 7360083, 31254211
20000, 199990000, 908218003
20000, 199990000, 922552406
20000, 199990000, 912388886
20000, 199990000, 933053054
20000, 89994, 383735
40000, 799980000, 3739721142
40000, 799980000, 3744090918
40000, 799980000, 3824743939
40000, 799980000, 3800931600
40000, 179994, 631380
80000, 3199960000, 14945335542
80000, 3199960000, 14882271717
80000, 3199960000, 14843792445
80000, 3199960000, 14964800157
80000, 359994, 1414086
160000, 12799920000, 56255570856
160000, 12799920000, 58029920461
160000, 12799920000, 61972986726
160000, 12799920000, 59665050775
160000, 719994, 2516506






